"address_id";"address";"city";"postal_code";"latitude";"longitude"
334;"1 RUE FRATERNITE";"NOGENT SUR OISE";"60180";49.2823;2.46077
335;"4 RUE DE BUZENVAL";"SAINT-CLOUD";"92210";48.8494;2.21092
336;"21 CHE DU LYCEE";"LA ROCHE SUR FORON";"74800";0.0;0.0
337;"58 RUE DE GOUEDIC";"SAINT-BRIEUC";"22000";48.5085;-2.75325
338;"96 RUE PASTEUR";"ALBERTVILLE";"73200";45.67;6.38828
339;"20 RUE DE L ABRIVADO";"MILHAUD";"30540";43.7873;4.30781
340;"6 IMP DES MIMOSAS";"LEZARDRIEUX";"22740";48.7905;-3.10119
341;"13 RTE D'ORGE";"CHAULGNES";"58400";47.118;3.11102
342;"15 RUE PHILIPPE DE COMMYNES";"AMIENS";"80000";49.876;2.28977
343;"15 RUE DE LA RUCHE";"LYON 3EME";"69003";0.0;0.0
344;"31 RUE DE MILLY";"PERTHES";"77930";48.4733;2.55014
345;"193 AV JACQUES DOUZANS";"MURET";"31600";43.4757;1.3329
346;"26 RUE ELISABETH GELLY";"LIBOURNE";"33500";44.916;-0.240595
347;"2 RUE VICTOR HUGO";"LACANAU";"33680";45.0053;-1.1982
348;"8 RUE GALPIN THIOU";"TOURS";"37000";47.384;0.692075
349;"4 MTE FLEURIE";"BEAULIEU SUR MER";"6310";43.7064;7.32693
350;"46 RUE ROUBLOT";"FONTENAY-SOUS-BOIS";"94120";48.85;2.46161
351;"34 RUE HENRI BECQUEREL";"SAINT-BRIEUC";"22000";48.4978;-2.74859
352;"45 ALL DES FEDES";"LA CAVALERIE";"12230";44.0152;3.13333
353;"49 RUE DES CARNETS";"CLAMART";"92140";48.7895;2.25968
